action_code,actor,actor_role,camera_movement,changed,clip_end_frame,clip_start_frame,criterion,description,end_direction,end_frame,example_id,mind_change,rank,retraction_direction_code,start_direction,start_frame,target_context_1,target_context_2,target_structure,tool_type,triplet,video_id
dissect,right,,,,1800,1500,C2,"The hook dissects around the hepatocystic triangle, between presumed cystic duct and presumed cystic artery.",,1800,0f7ff338-1195-4482-b26b-530858de1811__C2__avg__c_001500_001800,unsatisfied->satisfied,1,,,1500,between presumed cystic duct and presumed cystic artery,,hepatocystic triangle,hook,"[""hook"", ""dissect"", ""hepatocystic triangle""]",0f7ff338-1195-4482-b26b-530858de1811
,left,,,changed,900,450,C2,The grasper retracts the gallbladder neck from not retracted to lateral.,lateral,720,10784ea7-8272-4b76-86c5-0f90cf74c750__C2__avg__c_000450_000900,unsatisfied->satisfied,2,retract to lateral,not retracted,600,,,,,,10784ea7-8272-4b76-86c5-0f90cf74c750
dissect,right,,,,900,450,C2,The hook dissects around the cystic plate.,,900,10784ea7-8272-4b76-86c5-0f90cf74c750__C2__avg__c_000450_000900,unsatisfied->satisfied,1,,,450,,,cystic plate,hook,"[""hook"", ""dissect"", ""cystic plate""]",10784ea7-8272-4b76-86c5-0f90cf74c750
dissect,right,,,,900,450,C2,The hook dissects around the hepatocystic triangle.,,900,10784ea7-8272-4b76-86c5-0f90cf74c750__C2__avg__c_000450_000900,unsatisfied->satisfied,1,,,450,,,hepatocystic triangle,hook,"[""hook"", ""dissect"", ""hepatocystic triangle""]",10784ea7-8272-4b76-86c5-0f90cf74c750
,left,,,changed,900,150,C3,The grasper retracts the gallbladder neck from medial to lateral.,lateral,390,10784ea7-8272-4b76-86c5-0f90cf74c750__C3__avg__c_000150_000900,unsatisfied->satisfied,1,retract from medial to lateral,medial,150,,,,,,10784ea7-8272-4b76-86c5-0f90cf74c750
dissect,right,,,,900,150,C3,The hook dissects around the cystic duct.,,900,10784ea7-8272-4b76-86c5-0f90cf74c750__C3__avg__c_000150_000900,unsatisfied->satisfied,2,,,150,,,cystic duct,hook,"[""hook"", ""dissect"", ""cystic duct""]",10784ea7-8272-4b76-86c5-0f90cf74c750
dissect,right,,,,900,150,C3,The hook dissects around the cystic plate.,,900,10784ea7-8272-4b76-86c5-0f90cf74c750__C3__avg__c_000150_000900,unsatisfied->satisfied,2,,,150,,,cystic plate,hook,"[""hook"", ""dissect"", ""cystic plate""]",10784ea7-8272-4b76-86c5-0f90cf74c750
dissect,right,,,,900,150,C3,The hook dissects around the hepatocystic triangle.,,900,10784ea7-8272-4b76-86c5-0f90cf74c750__C3__avg__c_000150_000900,unsatisfied->satisfied,2,,,150,,,hepatocystic triangle,hook,"[""hook"", ""dissect"", ""hepatocystic triangle""]",10784ea7-8272-4b76-86c5-0f90cf74c750
,left,,,not changed,2250,1950,C2,The grasper keeps the gallbladder neck retracted lateral.,lateral,2250,10dea02a-5502-4f05-ba3b-191e38fe4b29__C2__avg__c_001950_002250,unsatisfied->satisfied,3,keep retracted lateral,lateral,1950,,,,,,10dea02a-5502-4f05-ba3b-191e38fe4b29
dissect,right,,,,2250,1950,C2,The hook dissects around the cystic duct.,,2160,10dea02a-5502-4f05-ba3b-191e38fe4b29__C2__avg__c_001950_002250,unsatisfied->satisfied,1,,,1950,,,cystic duct,hook,"[""hook"", ""dissect"", ""cystic duct""]",10dea02a-5502-4f05-ba3b-191e38fe4b29
The camera zooms out,camera,,The camera zooms out,,2250,1950,C2,The camera zooms out.,,2250,10dea02a-5502-4f05-ba3b-191e38fe4b29__C2__avg__c_001950_002250,unsatisfied->satisfied,2,,,2100,,,,,,10dea02a-5502-4f05-ba3b-191e38fe4b29
,left,,,not changed,300,0,C2,The grasper keeps the gallbladder neck retracted lateral.,lateral,300,13c28a0c-ff1a-4e46-a9e9-b1b125e01216__C2__avg__c_000000_000300,unsatisfied->satisfied,2,keep retracted lateral,lateral,0,,,,,,13c28a0c-ff1a-4e46-a9e9-b1b125e01216
dissect,right,,,,300,0,C2,"The hook dissects around the hepatocystic triangle, between presumed cystic duct and presumed cystic artery, and near the base of the hepatocystic triangle.",,300,13c28a0c-ff1a-4e46-a9e9-b1b125e01216__C2__avg__c_000000_000300,unsatisfied->satisfied,1,,,0,between presumed cystic duct and presumed cystic artery,near the base of the hepatocystic triangle,hepatocystic triangle,hook,"[""hook"", ""dissect"", ""hepatocystic triangle""]",13c28a0c-ff1a-4e46-a9e9-b1b125e01216
,left,,,not changed,750,600,C2,The grasper keeps the gallbladder neck retracted lateral.,lateral,750,13c28a0c-ff1a-4e46-a9e9-b1b125e01216__C2__avg__c_000600_000750,unsatisfied->satisfied,2,keep retracted lateral,lateral,600,,,,,,13c28a0c-ff1a-4e46-a9e9-b1b125e01216
dissect,right,,,,750,600,C2,"The maryland dissects around the hepatocystic triangle, between presumed cystic duct and presumed cystic artery, and near the base of the hepatocystic triangle.",,750,13c28a0c-ff1a-4e46-a9e9-b1b125e01216__C2__avg__c_000600_000750,unsatisfied->satisfied,1,,,600,between presumed cystic duct and presumed cystic artery,near the base of the hepatocystic triangle,hepatocystic triangle,maryland,"[""maryland"", ""dissect"", ""hepatocystic triangle""]",13c28a0c-ff1a-4e46-a9e9-b1b125e01216
,left,,,not changed,1500,1200,C2,The grasper keeps the gallbladder neck retracted lateral.,lateral,1500,13c28a0c-ff1a-4e46-a9e9-b1b125e01216__C2__avg__c_001200_001500,unsatisfied->satisfied,2,keep retracted lateral,lateral,1200,,,,,,13c28a0c-ff1a-4e46-a9e9-b1b125e01216
dissect,right,,,,1500,1200,C2,"The hook dissects around the hepatocystic triangle, between presumed cystic duct and presumed cystic artery.",,1380,13c28a0c-ff1a-4e46-a9e9-b1b125e01216__C2__avg__c_001200_001500,unsatisfied->satisfied,1,,,1200,between presumed cystic duct and presumed cystic artery,,hepatocystic triangle,hook,"[""hook"", ""dissect"", ""hepatocystic triangle""]",13c28a0c-ff1a-4e46-a9e9-b1b125e01216
dissect,right,,,,1500,1200,C2,"The hook dissects around the hepatocystic triangle, near the base of the hepatocystic triangle.",,1500,13c28a0c-ff1a-4e46-a9e9-b1b125e01216__C2__avg__c_001200_001500,unsatisfied->satisfied,1,,,1410,near the base of the hepatocystic triangle,,hepatocystic triangle,hook,"[""hook"", ""dissect"", ""hepatocystic triangle""]",13c28a0c-ff1a-4e46-a9e9-b1b125e01216
,left,,,not changed,1950,1800,C2,The grasper keeps the gallbladder neck retracted lateral.,lateral,1950,13c28a0c-ff1a-4e46-a9e9-b1b125e01216__C2__avg__c_001800_001950,unsatisfied->satisfied,2,keep retracted lateral,lateral,1800,,,,,,13c28a0c-ff1a-4e46-a9e9-b1b125e01216
dissect,right,,,,1950,1800,C2,"The hook dissects around the hepatocystic triangle, between presumed cystic duct and presumed cystic artery, and near the base of the hepatocystic triangle.",,1950,13c28a0c-ff1a-4e46-a9e9-b1b125e01216__C2__avg__c_001800_001950,unsatisfied->satisfied,1,,,1860,between presumed cystic duct and presumed cystic artery,near the base of the hepatocystic triangle,hepatocystic triangle,hook,"[""hook"", ""dissect"", ""hepatocystic triangle""]",13c28a0c-ff1a-4e46-a9e9-b1b125e01216
,left,,,changed,2100,1800,C3,The grasper retracts the gallbladder neck from lateral to medial.,medial,2070,13c28a0c-ff1a-4e46-a9e9-b1b125e01216__C3__avg__c_001800_002100,unsatisfied->satisfied,1,retract from lateral to medial,lateral,2040,,,,,,13c28a0c-ff1a-4e46-a9e9-b1b125e01216
dissect,right,,,,2100,1800,C3,"The hook dissects around the hepatocystic triangle, near the base of the hepatocystic triangle.",,1950,13c28a0c-ff1a-4e46-a9e9-b1b125e01216__C3__avg__c_001800_002100,unsatisfied->satisfied,2,,,1860,near the base of the hepatocystic triangle,,hepatocystic triangle,hook,"[""hook"", ""dissect"", ""hepatocystic triangle""]",13c28a0c-ff1a-4e46-a9e9-b1b125e01216
,left,,,not changed,1500,1050,C1,The grasper keeps the gallbladder neck retracted lateral.,lateral,1500,144fef8d-eaed-48ac-ba3b-a7a214e95f42__C1__avg__c_001050_001500,unsatisfied->satisfied,2,keep retracted lateral,lateral,1050,,,,,,144fef8d-eaed-48ac-ba3b-a7a214e95f42
dissect,right,,,,1500,1050,C1,"The hook dissects around the hepatocystic triangle, between presumed cystic duct and presumed cystic artery.",,1500,144fef8d-eaed-48ac-ba3b-a7a214e95f42__C1__avg__c_001050_001500,unsatisfied->satisfied,1,,,1050,between presumed cystic duct and presumed cystic artery,,hepatocystic triangle,hook,"[""hook"", ""dissect"", ""hepatocystic triangle""]",144fef8d-eaed-48ac-ba3b-a7a214e95f42
,left,,,not changed,1800,1050,C2,The grasper keeps the gallbladder neck retracted lateral.,lateral,1800,144fef8d-eaed-48ac-ba3b-a7a214e95f42__C2__avg__c_001050_001800,unsatisfied->satisfied,2,keep retracted lateral,lateral,1050,,,,,,144fef8d-eaed-48ac-ba3b-a7a214e95f42
dissect,right,,,,1800,1050,C2,"The hook dissects around the hepatocystic triangle, near the base of the hepatocystic triangle, and close to the gallbladder neck.",,1800,144fef8d-eaed-48ac-ba3b-a7a214e95f42__C2__avg__c_001050_001800,unsatisfied->satisfied,1,,,1050,near the base of the hepatocystic triangle,close to the gallbladder neck,hepatocystic triangle,hook,"[""hook"", ""dissect"", ""hepatocystic triangle""]",144fef8d-eaed-48ac-ba3b-a7a214e95f42
,left,,,changed,1200,750,C1,The grasper retracts the gallbladder neck from not retracted to lateral.,lateral,810,14d2ecc3-bbdb-42e1-9e69-91b72d1f7cfb__C1__avg__c_000750_001200,unsatisfied->satisfied,2,retract to lateral,not retracted,750,,,,,,14d2ecc3-bbdb-42e1-9e69-91b72d1f7cfb
dissect,right,,,,1200,750,C1,"The hook dissects around the hepatocystic triangle, between presumed cystic duct and presumed cystic artery.",,780,14d2ecc3-bbdb-42e1-9e69-91b72d1f7cfb__C1__avg__c_000750_001200,unsatisfied->satisfied,1,,,780,between presumed cystic duct and presumed cystic artery,,hepatocystic triangle,hook,"[""hook"", ""dissect"", ""hepatocystic triangle""]",14d2ecc3-bbdb-42e1-9e69-91b72d1f7cfb
dissect,right,,,,1200,750,C1,"The hook dissects around the cystic artery, between presumed cystic duct and presumed cystic artery.",,1200,14d2ecc3-bbdb-42e1-9e69-91b72d1f7cfb__C1__avg__c_000750_001200,unsatisfied->satisfied,1,,,900,between presumed cystic duct and presumed cystic artery,,cystic artery,hook,"[""hook"", ""dissect"", ""cystic artery""]",14d2ecc3-bbdb-42e1-9e69-91b72d1f7cfb
switch ICG,other,,,,1200,750,C1,"An instrument switches to ICG view of the hepatocystic triangle, to improve visualization and help confirm the identity of the biliary structures.",,990,14d2ecc3-bbdb-42e1-9e69-91b72d1f7cfb__C1__avg__c_000750_001200,unsatisfied->satisfied,3,,,870,,,hepatocystic triangle,,,14d2ecc3-bbdb-42e1-9e69-91b72d1f7cfb
,left,,,not changed,2250,1500,C1,The grasper keeps the gallbladder neck retracted lateral.,lateral,2250,14d2ecc3-bbdb-42e1-9e69-91b72d1f7cfb__C1__avg__c_001500_002250,unsatisfied->satisfied,3,keep retracted lateral,lateral,1500,,,,,,14d2ecc3-bbdb-42e1-9e69-91b72d1f7cfb
dissect,right,,,,2250,1500,C1,"The hook dissects around the cystic duct, between presumed cystic duct and presumed cystic artery.",,2040,14d2ecc3-bbdb-42e1-9e69-91b72d1f7cfb__C1__avg__c_001500_002250,unsatisfied->satisfied,1,,,1500,between presumed cystic duct and presumed cystic artery,,cystic duct,hook,"[""hook"", ""dissect"", ""cystic duct""]",14d2ecc3-bbdb-42e1-9e69-91b72d1f7cfb
The camera does not change,camera,,The camera does not change,,2250,1500,C1,The camera does not change.,,1950,14d2ecc3-bbdb-42e1-9e69-91b72d1f7cfb__C1__avg__c_001500_002250,unsatisfied->satisfied,2,,,1500,,,,,,14d2ecc3-bbdb-42e1-9e69-91b72d1f7cfb
The camera zooms out,camera,,The camera zooms out,,2250,1500,C1,The camera zooms out.,,2250,14d2ecc3-bbdb-42e1-9e69-91b72d1f7cfb__C1__avg__c_001500_002250,unsatisfied->satisfied,2,,,1950,,,,,,14d2ecc3-bbdb-42e1-9e69-91b72d1f7cfb
dissect,right,,,,300,0,C2,"The hook dissects around the cystic artery, between cystic artery and cystic plate.",,300,14d2ecc3-bbdb-42e1-9e69-91b72d1f7cfb__C2__avg__c_000000_000300,unsatisfied->satisfied,1,,,0,between cystic artery and cystic plate,,cystic artery,hook,"[""hook"", ""dissect"", ""cystic artery""]",14d2ecc3-bbdb-42e1-9e69-91b72d1f7cfb
,left,,,changed,1200,750,C2,The grasper retracts the gallbladder neck from not retracted to lateral.,lateral,810,14d2ecc3-bbdb-42e1-9e69-91b72d1f7cfb__C2__avg__c_000750_001200,unsatisfied->satisfied,2,retract to lateral,not retracted,750,,,,,,14d2ecc3-bbdb-42e1-9e69-91b72d1f7cfb
dissect,right,,,,1200,750,C2,"The hook dissects around the hepatocystic triangle, between presumed cystic duct and presumed cystic artery.",,780,14d2ecc3-bbdb-42e1-9e69-91b72d1f7cfb__C2__avg__c_000750_001200,unsatisfied->satisfied,1,,,750,between presumed cystic duct and presumed cystic artery,,hepatocystic triangle,hook,"[""hook"", ""dissect"", ""hepatocystic triangle""]",14d2ecc3-bbdb-42e1-9e69-91b72d1f7cfb
dissect,right,,,,1200,750,C2,"The hook dissects around the cystic artery, between presumed cystic duct and presumed cystic artery, and near the base of the hepatocystic triangle.",,1200,14d2ecc3-bbdb-42e1-9e69-91b72d1f7cfb__C2__avg__c_000750_001200,unsatisfied->satisfied,1,,,930,between presumed cystic duct and presumed cystic artery,near the base of the hepatocystic triangle,cystic artery,hook,"[""hook"", ""dissect"", ""cystic artery""]",14d2ecc3-bbdb-42e1-9e69-91b72d1f7cfb
switch ICG,other,,,,1200,750,C2,The ICG is switched.,,990,14d2ecc3-bbdb-42e1-9e69-91b72d1f7cfb__C2__avg__c_000750_001200,unsatisfied->satisfied,3,,,870,,,,,,14d2ecc3-bbdb-42e1-9e69-91b72d1f7cfb
dissect,right,,,,750,450,C2,"The hook dissects around the hepatocystic triangle, between cystic artery and cystic plate.",,750,16e33e34-9e96-4156-b4ce-7591dcf813da__C2__avg__c_000450_000750,unsatisfied->satisfied,1,,,450,between cystic artery and cystic plate,,hepatocystic triangle,hook,"[""hook"", ""dissect"", ""hepatocystic triangle""]",16e33e34-9e96-4156-b4ce-7591dcf813da
The camera repositions,camera,,The camera repositions,,750,450,C2,The camera repositions.,,540,16e33e34-9e96-4156-b4ce-7591dcf813da__C2__avg__c_000450_000750,unsatisfied->satisfied,2,,,450,,,,,,16e33e34-9e96-4156-b4ce-7591dcf813da
The camera zooms out,camera,,The camera zooms out,,750,450,C2,The camera zooms out.,,750,16e33e34-9e96-4156-b4ce-7591dcf813da__C2__avg__c_000450_000750,unsatisfied->satisfied,2,,,600,,,,,,16e33e34-9e96-4156-b4ce-7591dcf813da
,left,,,not changed,1650,1200,C2,The grasper keeps the gallbladder neck retracted lateral.,lateral,1650,16e33e34-9e96-4156-b4ce-7591dcf813da__C2__avg__c_001200_001650,unsatisfied->satisfied,2,keep retracted lateral,lateral,1200,,,,,,16e33e34-9e96-4156-b4ce-7591dcf813da
dissect,right,,,,1650,1200,C2,"The hook dissects around the hepatocystic triangle, between cystic artery and cystic plate.",,1380,16e33e34-9e96-4156-b4ce-7591dcf813da__C2__avg__c_001200_001650,unsatisfied->satisfied,1,,,1200,between cystic artery and cystic plate,,hepatocystic triangle,hook,"[""hook"", ""dissect"", ""hepatocystic triangle""]",16e33e34-9e96-4156-b4ce-7591dcf813da
dissect,right,,,,1650,1200,C2,"The hook dissects around the cystic artery, between presumed cystic duct and presumed cystic artery.",,1470,16e33e34-9e96-4156-b4ce-7591dcf813da__C2__avg__c_001200_001650,unsatisfied->satisfied,1,,,1410,between presumed cystic duct and presumed cystic artery,,cystic artery,hook,"[""hook"", ""dissect"", ""cystic artery""]",16e33e34-9e96-4156-b4ce-7591dcf813da
The camera repositions,camera,,The camera repositions,,1650,1200,C2,The camera repositions.,,1410,16e33e34-9e96-4156-b4ce-7591dcf813da__C2__avg__c_001200_001650,unsatisfied->satisfied,3,,,1380,,,,,,16e33e34-9e96-4156-b4ce-7591dcf813da
,left,,,changed,2250,1950,C2,The grasper retracts the gallbladder neck from not retracted to lateral.,lateral,2160,16e33e34-9e96-4156-b4ce-7591dcf813da__C2__avg__c_001950_002250,unsatisfied->satisfied,2,retract to lateral,not retracted,1950,,,,,,16e33e34-9e96-4156-b4ce-7591dcf813da
irrigator countertraction assist,right,,,,2250,1950,C2,The irrigator irrigator countertraction assist the gallbladder neck infundibulum.,,2190,16e33e34-9e96-4156-b4ce-7591dcf813da__C2__avg__c_001950_002250,unsatisfied->satisfied,1,,,1950,,,gallbladder neck infundibulum,irrigator,"[""irrigator"", ""irrigator countertraction assist"", ""gallbladder neck infundibulum""]",16e33e34-9e96-4156-b4ce-7591dcf813da
,left,,,not changed,900,600,C3,The grasper keeps the gallbladder neck retracted lateral.,lateral,900,16e33e34-9e96-4156-b4ce-7591dcf813da__C3__avg__c_000600_000900,unsatisfied->satisfied,2,keep retracted lateral,lateral,600,,,,,,16e33e34-9e96-4156-b4ce-7591dcf813da
dissect,right,,,,900,600,C3,"The hook dissects around the cystic plate, between cystic artery and cystic plate.",,900,16e33e34-9e96-4156-b4ce-7591dcf813da__C3__avg__c_000600_000900,unsatisfied->satisfied,1,,,600,between cystic artery and cystic plate,,cystic plate,hook,"[""hook"", ""dissect"", ""cystic plate""]",16e33e34-9e96-4156-b4ce-7591dcf813da
The camera is uncertain,camera,,The camera is uncertain,,900,600,C3,The camera is uncertain.,,750,16e33e34-9e96-4156-b4ce-7591dcf813da__C3__avg__c_000600_000900,unsatisfied->satisfied,3,,,600,,,,,,16e33e34-9e96-4156-b4ce-7591dcf813da
The camera zooms in,camera,,The camera zooms in,,900,600,C3,The camera zooms in.,,900,16e33e34-9e96-4156-b4ce-7591dcf813da__C3__avg__c_000600_000900,unsatisfied->satisfied,3,,,750,,,,,,16e33e34-9e96-4156-b4ce-7591dcf813da
,left,,,changed,2250,1950,C3,The grasper retracts the gallbladder neck from not retracted to lateral.,lateral,2160,16e33e34-9e96-4156-b4ce-7591dcf813da__C3__avg__c_001950_002250,unsatisfied->satisfied,2,retract to lateral,not retracted,1950,,,,,,16e33e34-9e96-4156-b4ce-7591dcf813da
irrigator countertraction assist,right,,,,2250,1950,C3,The irrigator irrigator countertraction assist the gallbladder neck infundibulum.,,2190,16e33e34-9e96-4156-b4ce-7591dcf813da__C3__avg__c_001950_002250,unsatisfied->satisfied,1,,,1950,,,gallbladder neck infundibulum,irrigator,"[""irrigator"", ""irrigator countertraction assist"", ""gallbladder neck infundibulum""]",16e33e34-9e96-4156-b4ce-7591dcf813da
,left,,,changed,1200,750,C1,The grasper retracts the gallbladder neck from medial to lateral.,lateral,1050,1971efbe-2e68-4e13-ba04-2bc6ed76b4f1__C1__avg__c_000750_001200,unsatisfied->satisfied,1,retract from medial to lateral,medial,1020,,,,,,1971efbe-2e68-4e13-ba04-2bc6ed76b4f1
dissect,right,,,,1200,750,C1,The hook dissects around the cystic plate.,,1020,1971efbe-2e68-4e13-ba04-2bc6ed76b4f1__C1__avg__c_000750_001200,unsatisfied->satisfied,3,,,750,,,cystic plate,hook,"[""hook"", ""dissect"", ""cystic plate""]",1971efbe-2e68-4e13-ba04-2bc6ed76b4f1
dissect,right,,,,1200,750,C1,The hook dissects around the cystic artery.,,1200,1971efbe-2e68-4e13-ba04-2bc6ed76b4f1__C1__avg__c_000750_001200,unsatisfied->satisfied,3,,,1110,,,cystic artery,hook,"[""hook"", ""dissect"", ""cystic artery""]",1971efbe-2e68-4e13-ba04-2bc6ed76b4f1
The camera repositions,camera,,The camera repositions,,1200,750,C1,The camera repositions.,,900,1971efbe-2e68-4e13-ba04-2bc6ed76b4f1__C1__avg__c_000750_001200,unsatisfied->satisfied,2,,,750,,,,,,1971efbe-2e68-4e13-ba04-2bc6ed76b4f1
The camera is uncertain,camera,,The camera is uncertain,,1200,750,C1,The camera is uncertain.,,1050,1971efbe-2e68-4e13-ba04-2bc6ed76b4f1__C1__avg__c_000750_001200,unsatisfied->satisfied,2,,,900,,,,,,1971efbe-2e68-4e13-ba04-2bc6ed76b4f1
The camera zooms out,camera,,The camera zooms out,,1200,750,C1,The camera zooms out.,,1200,1971efbe-2e68-4e13-ba04-2bc6ed76b4f1__C1__avg__c_000750_001200,unsatisfied->satisfied,2,,,1050,,,,,,1971efbe-2e68-4e13-ba04-2bc6ed76b4f1
dissect,right,,,,1950,1500,C1,"The hook dissects around the hepatocystic triangle, between cystic artery and cystic plate.",,1650,1971efbe-2e68-4e13-ba04-2bc6ed76b4f1__C1__avg__c_001500_001950,unsatisfied->satisfied,2,,,1500,between cystic artery and cystic plate,,hepatocystic triangle,hook,"[""hook"", ""dissect"", ""hepatocystic triangle""]",1971efbe-2e68-4e13-ba04-2bc6ed76b4f1
dissect,right,,,,1950,1500,C1,"The hook dissects around the hepatocystic triangle, between cystic artery and cystic plate.",,1770,1971efbe-2e68-4e13-ba04-2bc6ed76b4f1__C1__avg__c_001500_001950,unsatisfied->satisfied,2,,,1710,between cystic artery and cystic plate,,hepatocystic triangle,hook,"[""hook"", ""dissect"", ""hepatocystic triangle""]",1971efbe-2e68-4e13-ba04-2bc6ed76b4f1
The camera zooms out,camera,,The camera zooms out,,1950,1500,C1,The camera zooms out.,,1650,1971efbe-2e68-4e13-ba04-2bc6ed76b4f1__C1__avg__c_001500_001950,unsatisfied->satisfied,1,,,1500,,,,,,1971efbe-2e68-4e13-ba04-2bc6ed76b4f1
The camera repositions,camera,,The camera repositions,,1950,1500,C1,The camera repositions.,,1800,1971efbe-2e68-4e13-ba04-2bc6ed76b4f1__C1__avg__c_001500_001950,unsatisfied->satisfied,1,,,1650,,,,,,1971efbe-2e68-4e13-ba04-2bc6ed76b4f1
The camera zooms out,camera,,The camera zooms out,,1950,1500,C1,The camera zooms out.,,1950,1971efbe-2e68-4e13-ba04-2bc6ed76b4f1__C1__avg__c_001500_001950,unsatisfied->satisfied,1,,,1800,,,,,,1971efbe-2e68-4e13-ba04-2bc6ed76b4f1
,left,,,changed,1200,750,C2,The grasper retracts the gallbladder neck from medial to lateral.,lateral,1050,1971efbe-2e68-4e13-ba04-2bc6ed76b4f1__C2__avg__c_000750_001200,unsatisfied->satisfied,2,retract from medial to lateral,medial,1020,,,,,,1971efbe-2e68-4e13-ba04-2bc6ed76b4f1
dissect,right,,,,1200,750,C2,"The hook dissects around the cystic plate, between cystic artery and cystic plate.",,960,1971efbe-2e68-4e13-ba04-2bc6ed76b4f1__C2__avg__c_000750_001200,unsatisfied->satisfied,1,,,750,between cystic artery and cystic plate,,cystic plate,hook,"[""hook"", ""dissect"", ""cystic plate""]",1971efbe-2e68-4e13-ba04-2bc6ed76b4f1
dissect,right,,,,1200,750,C2,"The hook dissects around the cystic artery, between cystic artery and cystic plate.",,1200,1971efbe-2e68-4e13-ba04-2bc6ed76b4f1__C2__avg__c_000750_001200,unsatisfied->satisfied,1,,,1110,between cystic artery and cystic plate,,cystic artery,hook,"[""hook"", ""dissect"", ""cystic artery""]",1971efbe-2e68-4e13-ba04-2bc6ed76b4f1
The camera repositions,camera,,The camera repositions,,1200,750,C2,The camera repositions.,,900,1971efbe-2e68-4e13-ba04-2bc6ed76b4f1__C2__avg__c_000750_001200,unsatisfied->satisfied,3,,,750,,,,,,1971efbe-2e68-4e13-ba04-2bc6ed76b4f1
The camera is uncertain,camera,,The camera is uncertain,,1200,750,C2,The camera is uncertain.,,1050,1971efbe-2e68-4e13-ba04-2bc6ed76b4f1__C2__avg__c_000750_001200,unsatisfied->satisfied,3,,,900,,,,,,1971efbe-2e68-4e13-ba04-2bc6ed76b4f1
The camera zooms out,camera,,The camera zooms out,,1200,750,C2,The camera zooms out.,,1200,1971efbe-2e68-4e13-ba04-2bc6ed76b4f1__C2__avg__c_000750_001200,unsatisfied->satisfied,3,,,1050,,,,,,1971efbe-2e68-4e13-ba04-2bc6ed76b4f1
,left,,,not changed,1800,1500,C2,The grasper keeps the gallbladder neck retracted lateral.,lateral,1800,1971efbe-2e68-4e13-ba04-2bc6ed76b4f1__C2__avg__c_001500_001800,unsatisfied->satisfied,3,keep retracted lateral,lateral,1500,,,,,,1971efbe-2e68-4e13-ba04-2bc6ed76b4f1
dissect,right,,,,1800,1500,C2,"The hook dissects around the hepatocystic triangle, between cystic artery and cystic plate.",,1650,1971efbe-2e68-4e13-ba04-2bc6ed76b4f1__C2__avg__c_001500_001800,unsatisfied->satisfied,1,,,1500,between cystic artery and cystic plate,,hepatocystic triangle,hook,"[""hook"", ""dissect"", ""hepatocystic triangle""]",1971efbe-2e68-4e13-ba04-2bc6ed76b4f1
dissect,right,,,,1800,1500,C2,"The hook dissects around the cystic artery, between presumed cystic duct and presumed cystic artery.",,1800,1971efbe-2e68-4e13-ba04-2bc6ed76b4f1__C2__avg__c_001500_001800,unsatisfied->satisfied,1,,,1710,between presumed cystic duct and presumed cystic artery,,cystic artery,hook,"[""hook"", ""dissect"", ""cystic artery""]",1971efbe-2e68-4e13-ba04-2bc6ed76b4f1
The camera zooms out,camera,,The camera zooms out,,1800,1500,C2,The camera zooms out.,,1800,1971efbe-2e68-4e13-ba04-2bc6ed76b4f1__C2__avg__c_001500_001800,unsatisfied->satisfied,2,,,1500,,,,,,1971efbe-2e68-4e13-ba04-2bc6ed76b4f1
The camera repositions,camera,,The camera repositions,,1800,1500,C2,The camera repositions.,,1800,1971efbe-2e68-4e13-ba04-2bc6ed76b4f1__C2__avg__c_001500_001800,unsatisfied->satisfied,2,,,1650,,,,,,1971efbe-2e68-4e13-ba04-2bc6ed76b4f1
,left,,,changed,1350,900,C3,The grasper retracts the gallbladder neck from medial to lateral.,lateral,1050,1971efbe-2e68-4e13-ba04-2bc6ed76b4f1__C3__avg__c_000900_001350,unsatisfied->satisfied,2,retract from medial to lateral,medial,1020,,,,,,1971efbe-2e68-4e13-ba04-2bc6ed76b4f1
dissect,right,,,,1350,900,C3,"The hook dissects around the cystic plate, between cystic artery and cystic plate.",,960,1971efbe-2e68-4e13-ba04-2bc6ed76b4f1__C3__avg__c_000900_001350,unsatisfied->satisfied,1,,,900,between cystic artery and cystic plate,,cystic plate,hook,"[""hook"", ""dissect"", ""cystic plate""]",1971efbe-2e68-4e13-ba04-2bc6ed76b4f1
dissect,right,,,,1350,900,C3,"The hook dissects around the cystic artery, between cystic artery and cystic plate.",,1200,1971efbe-2e68-4e13-ba04-2bc6ed76b4f1__C3__avg__c_000900_001350,unsatisfied->satisfied,1,,,1110,between cystic artery and cystic plate,,cystic artery,hook,"[""hook"", ""dissect"", ""cystic artery""]",1971efbe-2e68-4e13-ba04-2bc6ed76b4f1
dissect,right,,,,1350,900,C3,"The hook dissects around the hepatocystic triangle, between cystic artery and cystic plate.",,1350,1971efbe-2e68-4e13-ba04-2bc6ed76b4f1__C3__avg__c_000900_001350,unsatisfied->satisfied,1,,,1290,between cystic artery and cystic plate,,hepatocystic triangle,hook,"[""hook"", ""dissect"", ""hepatocystic triangle""]",1971efbe-2e68-4e13-ba04-2bc6ed76b4f1
The camera zooms in,camera,,The camera zooms in,,1350,900,C3,The camera zooms in.,,1050,1971efbe-2e68-4e13-ba04-2bc6ed76b4f1__C3__avg__c_000900_001350,unsatisfied->satisfied,3,,,900,,,,,,1971efbe-2e68-4e13-ba04-2bc6ed76b4f1
The camera zooms out,camera,,The camera zooms out,,1350,900,C3,The camera zooms out.,,1350,1971efbe-2e68-4e13-ba04-2bc6ed76b4f1__C3__avg__c_000900_001350,unsatisfied->satisfied,3,,,1050,,,,,,1971efbe-2e68-4e13-ba04-2bc6ed76b4f1
