sentence,vid,example_id,region,rank,cluster_id,actor_role,tool_type,action_code,target_structure,target_relation,direction,view_change,effect,effect_structure,landmark_confidence,causal_for_mind_change
The right grasper dissects connective tissue and fat from the hepatocystic triangle.,16e33e34-9e96-4156-b4ce-7591dcf813da,16e33e34-9e96-4156-b4ce-7591dcf813da__C2__avg__c_001200_001650,fine_0,2,19,right_instrument,Grasper,DISSECT_TRIANGLE,HepatocysticTriangle,on,unknown,none,unknown,HepatocysticTriangle,unknown,
The right-sided grasper dissects connective tissue between the tubular structures to clear the hepatocystic triangle.,1cd76ca0-9ddb-4204-a783-bd245a6cc604,1cd76ca0-9ddb-4204-a783-bd245a6cc604__C2__avg__c_000000_000600,coarse,1,16,right_instrument,Grasper,DISSECT_TRIANGLE,TwoTubularStructures,between,unknown,none,unknown,TwoTubularStructures,unknown,
"The right hook dissects connective tissue in the hepatocystic triangle near the presumed cystic artery region, improving visibility of tubular structures entering the gallbladder.",004fa282-7e76-473e-bf34-01fe831368dc,004fa282-7e76-473e-bf34-01fe831368dc__C1__avg__c_001650_001950,coarse,1,9,right_instrument,Hook,DISSECT_TRIANGLE,CysticArtery,near,unknown,none,unknown,CysticArtery,low,
"The right hook clears tissue near the presumed cystic artery region, improving visibility of tubular structures.",004fa282-7e76-473e-bf34-01fe831368dc,004fa282-7e76-473e-bf34-01fe831368dc__C1__avg__c_001650_001950,fine_0,1,10,right_instrument,Hook,DISSECT_TRIANGLE,CysticArtery,near,unknown,none,unknown,CysticArtery,low,
The right hook dissects connective tissue near the presumed cystic artery to create a window within the hepatocystic triangle.,00467596-8200-449c-8528-d4816ec2f6a2,00467596-8200-449c-8528-d4816ec2f6a2__C2__avg__c_002100_002400,fine_0,1,15,right_instrument,Hook,DISSECT_TRIANGLE,CysticArtery,near,unknown,none,unknown,CysticArtery,low,
The right hook clears more part of the tissue within the hepatocystic triangle region near the suspected cystic artery.,00467596-8200-449c-8528-d4816ec2f6a2,00467596-8200-449c-8528-d4816ec2f6a2__C2__avg__c_000000_000150,coarse,1,18,right_instrument,Hook,DISSECT_TRIANGLE,CysticArtery,near,unknown,none,unknown,CysticArtery,low,
The right hook dissects connective tissue within the hepatocystic triangle near the suspected cystic artery region.,00467596-8200-449c-8528-d4816ec2f6a2,00467596-8200-449c-8528-d4816ec2f6a2__C1__avg__c_001950_002400,coarse,1,18,right_instrument,Hook,DISSECT_TRIANGLE,CysticArtery,near,unknown,none,unknown,CysticArtery,low,
The right hook dissects fine connective tissue within the hepatocystic triangle near the presumed cystic artery region.,00467596-8200-449c-8528-d4816ec2f6a2,00467596-8200-449c-8528-d4816ec2f6a2__C2__avg__c_001350_001650,fine_0,1,18,right_instrument,Hook,DISSECT_TRIANGLE,CysticArtery,near,unknown,none,unknown,CysticArtery,low,
The right hook dissects more connective tissue near the suspected cystic artery region.,00467596-8200-449c-8528-d4816ec2f6a2,00467596-8200-449c-8528-d4816ec2f6a2__C1__avg__c_001950_002400,fine_0,2,20,right_instrument,Hook,DISSECT_TRIANGLE,CysticArtery,near,unknown,none,unknown,CysticArtery,low,
The right-hand hook dissects connective tissue from the cystic artery.,0a094835-5933-4f29-a184-6bfa46579272,0a094835-5933-4f29-a184-6bfa46579272__C3__avg__c_000450_000900,fine_0,1,21,right_instrument,Hook,DISSECT_TRIANGLE,CysticArtery,on,unknown,none,unknown,CysticArtery,medium,
"The right hook dissects connective tissue from the hepatocystic triangle, creating a clear window.",144fef8d-eaed-48ac-ba3b-a7a214e95f42,144fef8d-eaed-48ac-ba3b-a7a214e95f42__C2__avg__c_001050_001800,coarse,1,17,right_instrument,Hook,DISSECT_TRIANGLE,HepatocysticTriangle,on,unknown,none,delineate_structures,HepatocysticTriangle,unknown,
The right hook dissects connective tissue in the hepatocystic triangle to create a posterior window.,00467596-8200-449c-8528-d4816ec2f6a2,00467596-8200-449c-8528-d4816ec2f6a2__C2__avg__c_002100_002400,coarse,1,17,right_instrument,Hook,DISSECT_TRIANGLE,HepatocysticTriangle,unknown,posterior,none,unknown,HepatocysticTriangle,unknown,
The right hook dissects connective tissue in the hepatocystic triangle to expose the underlying structures.,14d2ecc3-bbdb-42e1-9e69-91b72d1f7cfb,14d2ecc3-bbdb-42e1-9e69-91b72d1f7cfb__C1__avg__c_001500_002250,coarse,1,17,right_instrument,Hook,DISSECT_TRIANGLE,HepatocysticTriangle,unknown,unknown,none,improve_exposure,HepatocysticTriangle,unknown,
"The right hook dissects connective tissue in the hepatocystic triangle, creating a clear window.",14d2ecc3-bbdb-42e1-9e69-91b72d1f7cfb,14d2ecc3-bbdb-42e1-9e69-91b72d1f7cfb__C2__avg__c_000750_001200,fine_0,1,17,right_instrument,Hook,DISSECT_TRIANGLE,HepatocysticTriangle,unknown,unknown,none,delineate_structures,HepatocysticTriangle,unknown,
"The right hook dissects connective tissue in the hepatocystic triangle, creating a window between two structures.",144fef8d-eaed-48ac-ba3b-a7a214e95f42,144fef8d-eaed-48ac-ba3b-a7a214e95f42__C1__avg__c_001050_001500,fine_0,1,17,right_instrument,Hook,DISSECT_TRIANGLE,HepatocysticTriangle,between,unknown,none,delineate_structures,HepatocysticTriangle,unknown,
"The right hook dissects connective tissue in the hepatocystic triangle, creating a window.",144fef8d-eaed-48ac-ba3b-a7a214e95f42,144fef8d-eaed-48ac-ba3b-a7a214e95f42__C1__avg__c_001050_001500,coarse,1,17,right_instrument,Hook,DISSECT_TRIANGLE,HepatocysticTriangle,unknown,unknown,none,delineate_structures,HepatocysticTriangle,unknown,
"The right hook dissects connective tissue in the hepatocystic triangle, separating two structures.",0405e4b0-843a-469d-a235-6a12383bc1db,0405e4b0-843a-469d-a235-6a12383bc1db__C1__avg__c_001500_002100,fine_0,1,17,right_instrument,Hook,DISSECT_TRIANGLE,HepatocysticTriangle,unknown,unknown,none,unknown,HepatocysticTriangle,unknown,
The right hook dissects connective tissue within the Hepatocystic triangle to expose key structures.,10784ea7-8272-4b76-86c5-0f90cf74c750,10784ea7-8272-4b76-86c5-0f90cf74c750__C2__avg__c_000450_000900,coarse,1,17,right_instrument,Hook,DISSECT_TRIANGLE,HepatocysticTriangle,unknown,unknown,none,improve_exposure,HepatocysticTriangle,unknown,
The right hook dissects connective tissue within the hepatocystic triangle to clear the area.,004fa282-7e76-473e-bf34-01fe831368dc,004fa282-7e76-473e-bf34-01fe831368dc__C2__avg__c_000450_001050,fine_0,1,17,right_instrument,Hook,DISSECT_TRIANGLE,HepatocysticTriangle,unknown,unknown,none,unknown,HepatocysticTriangle,unknown,
The right hook dissects connective tissue within the hepatocystic triangle to clear the surgical field.,13c28a0c-ff1a-4e46-a9e9-b1b125e01216,13c28a0c-ff1a-4e46-a9e9-b1b125e01216__C2__avg__c_001200_001500,fine_0,1,17,right_instrument,Hook,DISSECT_TRIANGLE,HepatocysticTriangle,unknown,unknown,none,unknown,HepatocysticTriangle,unknown,
The right hook dissects connective tissue within the hepatocystic triangle to expose underlying structures.,14d2ecc3-bbdb-42e1-9e69-91b72d1f7cfb,14d2ecc3-bbdb-42e1-9e69-91b72d1f7cfb__C2__avg__c_000000_000300,coarse,1,17,right_instrument,Hook,DISSECT_TRIANGLE,HepatocysticTriangle,unknown,unknown,none,improve_exposure,HepatocysticTriangle,unknown,
"The right hook dissects connective tissue within the hepatocystic triangle, creating a clear window.",13c28a0c-ff1a-4e46-a9e9-b1b125e01216,13c28a0c-ff1a-4e46-a9e9-b1b125e01216__C2__avg__c_000000_000300,fine_0,1,17,right_instrument,Hook,DISSECT_TRIANGLE,HepatocysticTriangle,unknown,unknown,none,delineate_structures,HepatocysticTriangle,unknown,
"The right hook dissects connective tissue within the hepatocystic triangle, creating a clear window.",144fef8d-eaed-48ac-ba3b-a7a214e95f42,144fef8d-eaed-48ac-ba3b-a7a214e95f42__C2__avg__c_001050_001800,fine_0,1,17,right_instrument,Hook,DISSECT_TRIANGLE,HepatocysticTriangle,unknown,unknown,none,delineate_structures,HepatocysticTriangle,unknown,
"The right hook dissects connective tissue within the hepatocystic triangle, exposing underlying structures.",1971efbe-2e68-4e13-ba04-2bc6ed76b4f1,1971efbe-2e68-4e13-ba04-2bc6ed76b4f1__C2__avg__c_001500_001800,fine_0,1,17,right_instrument,Hook,DISSECT_TRIANGLE,HepatocysticTriangle,unknown,unknown,none,improve_exposure,HepatocysticTriangle,unknown,
"The right hook dissects connective tissue within the hepatocystic triangle, further skeletonizing the structures.",14d2ecc3-bbdb-42e1-9e69-91b72d1f7cfb,14d2ecc3-bbdb-42e1-9e69-91b72d1f7cfb__C2__avg__c_000000_000300,fine_0,1,17,right_instrument,Hook,DISSECT_TRIANGLE,HepatocysticTriangle,unknown,unknown,none,unknown,HepatocysticTriangle,unknown,
The right-sided hook dissects connective tissue within the hepatocystic triangle to isolate key structures.,1b7257e7-f6bb-4c2e-96eb-5c0e783f2983,1b7257e7-f6bb-4c2e-96eb-5c0e783f2983__C1__avg__c_001050_001350,coarse,1,17,right_instrument,Hook,DISSECT_TRIANGLE,HepatocysticTriangle,unknown,unknown,none,unknown,HepatocysticTriangle,unknown,
"The right-sided hook dissects connective tissue within the hepatocystic triangle, exposing underlying structures.",00467596-8200-449c-8528-d4816ec2f6a2,00467596-8200-449c-8528-d4816ec2f6a2__C2__avg__c_000450_001050,fine_0,1,17,right_instrument,Hook,DISSECT_TRIANGLE,HepatocysticTriangle,unknown,unknown,none,improve_exposure,HepatocysticTriangle,unknown,
"The right-sided hook dissects connective tissue within the hepatocystic triangle, improving visibility of the area.",16e33e34-9e96-4156-b4ce-7591dcf813da,16e33e34-9e96-4156-b4ce-7591dcf813da__C2__avg__c_000450_000750,fine_0,1,17,right_instrument,Hook,DISSECT_TRIANGLE,HepatocysticTriangle,unknown,unknown,none,unknown,HepatocysticTriangle,unknown,
"The right hook dissects connective tissue within the hepatocystic triangle, skeletonizing the cystic structures.",00467596-8200-449c-8528-d4816ec2f6a2,00467596-8200-449c-8528-d4816ec2f6a2__C2__avg__c_000450_001050,coarse,2,17,right_instrument,Hook,DISSECT_TRIANGLE,HepatocysticTriangle,unknown,unknown,none,unknown,HepatocysticTriangle,unknown,
The right hook cautery dissects connective tissue within the hepatocystic triangle.,13c28a0c-ff1a-4e46-a9e9-b1b125e01216,13c28a0c-ff1a-4e46-a9e9-b1b125e01216__C2__avg__c_000600_000750,fine_0,1,19,right_instrument,Hook,DISSECT_TRIANGLE,HepatocysticTriangle,unknown,unknown,none,unknown,HepatocysticTriangle,unknown,
The right hook cautery tool dissects connective tissue in the hepatocystic triangle.,13c28a0c-ff1a-4e46-a9e9-b1b125e01216,13c28a0c-ff1a-4e46-a9e9-b1b125e01216__C2__avg__c_001200_001500,coarse,1,19,right_instrument,Hook,DISSECT_TRIANGLE,HepatocysticTriangle,unknown,unknown,none,unknown,HepatocysticTriangle,unknown,
The right hook dissects and removes connective tissue from the hepatocystic triangle.,1971efbe-2e68-4e13-ba04-2bc6ed76b4f1,1971efbe-2e68-4e13-ba04-2bc6ed76b4f1__C2__avg__c_000750_001200,fine_0,1,19,right_instrument,Hook,DISSECT_TRIANGLE,HepatocysticTriangle,on,unknown,none,unknown,HepatocysticTriangle,unknown,
The right hook dissects connective tissue and fat within the hepatocystic triangle.,0405e4b0-843a-469d-a235-6a12383bc1db,0405e4b0-843a-469d-a235-6a12383bc1db__C2__avg__c_001500_002100,coarse,1,19,right_instrument,Hook,DISSECT_TRIANGLE,HepatocysticTriangle,unknown,unknown,none,unknown,HepatocysticTriangle,unknown,
The right hook dissects connective tissue and fat within the hepatocystic triangle.,0f7ff338-1195-4482-b26b-530858de1811,0f7ff338-1195-4482-b26b-530858de1811__C2__avg__c_001500_001800,fine_0,1,19,right_instrument,Hook,DISSECT_TRIANGLE,HepatocysticTriangle,unknown,unknown,none,unknown,HepatocysticTriangle,unknown,
The right hook dissects connective tissue and fat within the hepatocystic triangle.,10784ea7-8272-4b76-86c5-0f90cf74c750,10784ea7-8272-4b76-86c5-0f90cf74c750__C2__avg__c_000450_000900,fine_0,1,19,right_instrument,Hook,DISSECT_TRIANGLE,HepatocysticTriangle,unknown,unknown,none,unknown,HepatocysticTriangle,unknown,
The right hook dissects connective tissue and fat within the hepatocystic triangle.,16e33e34-9e96-4156-b4ce-7591dcf813da,16e33e34-9e96-4156-b4ce-7591dcf813da__C2__avg__c_000450_000750,coarse,1,19,right_instrument,Hook,DISSECT_TRIANGLE,HepatocysticTriangle,unknown,unknown,none,unknown,HepatocysticTriangle,unknown,
The right hook dissects connective tissue in the Hepatocystic triangle.,14d2ecc3-bbdb-42e1-9e69-91b72d1f7cfb,14d2ecc3-bbdb-42e1-9e69-91b72d1f7cfb__C1__avg__c_000750_001200,coarse,1,19,right_instrument,Hook,DISSECT_TRIANGLE,HepatocysticTriangle,unknown,unknown,none,unknown,HepatocysticTriangle,unknown,
The right hook dissects connective tissue within the hepatocystic triangle.,004fa282-7e76-473e-bf34-01fe831368dc,004fa282-7e76-473e-bf34-01fe831368dc__C2__avg__c_000450_001050,coarse,1,19,right_instrument,Hook,DISSECT_TRIANGLE,HepatocysticTriangle,unknown,unknown,none,unknown,HepatocysticTriangle,unknown,
The right hook dissects connective tissue within the hepatocystic triangle.,0405e4b0-843a-469d-a235-6a12383bc1db,0405e4b0-843a-469d-a235-6a12383bc1db__C2__avg__c_001500_002100,fine_0,1,19,right_instrument,Hook,DISSECT_TRIANGLE,HepatocysticTriangle,unknown,unknown,none,unknown,HepatocysticTriangle,unknown,
The right hook dissects fat and connective tissue to clear the hepatocystic triangle.,10dea02a-5502-4f05-ba3b-191e38fe4b29,10dea02a-5502-4f05-ba3b-191e38fe4b29__C2__avg__c_001950_002250,fine_0,1,19,right_instrument,Hook,DISSECT_TRIANGLE,HepatocysticTriangle,unknown,unknown,none,unknown,HepatocysticTriangle,unknown,
The right hook dissects fat and connective tissue within the hepatocystic triangle.,0f7ff338-1195-4482-b26b-530858de1811,0f7ff338-1195-4482-b26b-530858de1811__C2__avg__c_001500_001800,coarse,1,19,right_instrument,Hook,DISSECT_TRIANGLE,HepatocysticTriangle,unknown,unknown,none,unknown,HepatocysticTriangle,unknown,
The right hook dissects fat and connective tissue within the hepatocystic triangle.,10dea02a-5502-4f05-ba3b-191e38fe4b29,10dea02a-5502-4f05-ba3b-191e38fe4b29__C2__avg__c_001950_002250,coarse,1,19,right_instrument,Hook,DISSECT_TRIANGLE,HepatocysticTriangle,unknown,unknown,none,unknown,HepatocysticTriangle,unknown,
The right hook dissects remaining connective tissue from the hepatocystic triangle.,13c28a0c-ff1a-4e46-a9e9-b1b125e01216,13c28a0c-ff1a-4e46-a9e9-b1b125e01216__C2__avg__c_001800_001950,fine_0,1,19,right_instrument,Hook,DISSECT_TRIANGLE,HepatocysticTriangle,on,unknown,none,unknown,HepatocysticTriangle,unknown,
The right-hand hook dissects connective tissue and fat from the hepatocystic triangle.,1971efbe-2e68-4e13-ba04-2bc6ed76b4f1,1971efbe-2e68-4e13-ba04-2bc6ed76b4f1__C2__avg__c_001500_001800,coarse,1,19,right_instrument,Hook,DISSECT_TRIANGLE,HepatocysticTriangle,on,unknown,none,unknown,HepatocysticTriangle,unknown,
The right-sided hook dissects connective tissue and fat from the hepatocystic triangle.,13c28a0c-ff1a-4e46-a9e9-b1b125e01216,13c28a0c-ff1a-4e46-a9e9-b1b125e01216__C2__avg__c_000000_000300,coarse,1,19,right_instrument,Hook,DISSECT_TRIANGLE,HepatocysticTriangle,on,unknown,none,unknown,HepatocysticTriangle,unknown,
The right-sided hook dissects connective tissue and fat within the hepatocystic triangle.,14d2ecc3-bbdb-42e1-9e69-91b72d1f7cfb,14d2ecc3-bbdb-42e1-9e69-91b72d1f7cfb__C2__avg__c_000750_001200,coarse,1,19,right_instrument,Hook,DISSECT_TRIANGLE,HepatocysticTriangle,unknown,unknown,none,unknown,HepatocysticTriangle,unknown,
The right-sided hook dissects connective tissue within the hepatocystic triangle.,13c28a0c-ff1a-4e46-a9e9-b1b125e01216,13c28a0c-ff1a-4e46-a9e9-b1b125e01216__C2__avg__c_001800_001950,coarse,1,19,right_instrument,Hook,DISSECT_TRIANGLE,HepatocysticTriangle,unknown,unknown,none,unknown,HepatocysticTriangle,unknown,
The right-sided hook dissects fat and connective tissue from the hepatocystic triangle.,1971efbe-2e68-4e13-ba04-2bc6ed76b4f1,1971efbe-2e68-4e13-ba04-2bc6ed76b4f1__C2__avg__c_000750_001200,coarse,1,19,right_instrument,Hook,DISSECT_TRIANGLE,HepatocysticTriangle,on,unknown,none,unknown,HepatocysticTriangle,unknown,
The right hook performs subtle dissection of connective tissue in the hepatocystic triangle.,00467596-8200-449c-8528-d4816ec2f6a2,00467596-8200-449c-8528-d4816ec2f6a2__C2__avg__c_000000_000150,fine_0,2,19,right_instrument,Hook,DISSECT_TRIANGLE,HepatocysticTriangle,unknown,unknown,none,unknown,HepatocysticTriangle,unknown,
The right hook dissects connective tissue to isolate the two tubular structures.,1b7257e7-f6bb-4c2e-96eb-5c0e783f2983,1b7257e7-f6bb-4c2e-96eb-5c0e783f2983__C1__avg__c_001650_002250,coarse,2,14,right_instrument,Hook,DISSECT_TRIANGLE,TwoTubularStructures,unknown,unknown,none,unknown,TwoTubularStructures,unknown,
"The right hook dissects connective tissue in the hepatocystic triangle, exposing the underlying tubular structures.",1971efbe-2e68-4e13-ba04-2bc6ed76b4f1,1971efbe-2e68-4e13-ba04-2bc6ed76b4f1__C1__avg__c_001500_001950,fine_0,1,17,right_instrument,Hook,DISSECT_TRIANGLE,TwoTubularStructures,unknown,unknown,none,improve_exposure,TwoTubularStructures,unknown,
"The view switches to ICG fluorescence, improving visualization and helping confirm the identity of the biliary structures.",0f7bd02b-4292-432a-a1bc-bfdf3b53d56b,0f7bd02b-4292-432a-a1bc-bfdf3b53d56b__C1__avg__c_001800_002250,coarse,1,60,unknown,Unknown,ICG_SWITCH,Unknown,unknown,unknown,none,confirm_identity,TwoTubularStructures,high,
"The view switches to ICG fluorescence, improving visualization and helping confirm the identity of the biliary structures.",0f7bd02b-4292-432a-a1bc-bfdf3b53d56b,0f7bd02b-4292-432a-a1bc-bfdf3b53d56b__C1__avg__c_001800_002250,fine_0,2,60,unknown,Unknown,ICG_SWITCH,Unknown,unknown,unknown,none,confirm_identity,TwoTubularStructures,high,
The right irrigator aspirates blood from the hepatocystic triangle.,1ecfaf41-7ed8-4d2b-80f3-b370ea1ff55a,1ecfaf41-7ed8-4d2b-80f3-b370ea1ff55a__C2__avg__c_000000_000450,coarse,1,11,right_instrument,Irrigator,IRRIGATOR_CLEAR_FIELD,HepatocysticTriangle,on,unknown,none,unknown,HepatocysticTriangle,unknown,
The right irrigator aspirates blood from the hepatocystic triangle between the two tubular structures.,1ecfaf41-7ed8-4d2b-80f3-b370ea1ff55a,1ecfaf41-7ed8-4d2b-80f3-b370ea1ff55a__C2__avg__c_000000_000450,fine_0,1,11,right_instrument,Irrigator,IRRIGATOR_CLEAR_FIELD,TwoTubularStructures,between,unknown,none,unknown,HepatocysticTriangle,unknown,
"The suction-irrigator evacuates fluid and debris from the hepatocystic triangle, improving visualization of the dissection field.",16e33e34-9e96-4156-b4ce-7591dcf813da,16e33e34-9e96-4156-b4ce-7591dcf813da__C2__avg__c_001950_002250,fine_0,1,5,unknown,Irrigator,IRRIGATOR_CLEAR_FIELD,HepatocysticTriangle,on,unknown,none,unknown,HepatocysticTriangle,unknown,
"The suction-irrigator clears the field and provides temporary countertraction near the gallbladder neck, allowing the left grasper to regrasp and improve lateral retraction, and then clears more fluid.",16e33e34-9e96-4156-b4ce-7591dcf813da,16e33e34-9e96-4156-b4ce-7591dcf813da__C3__avg__c_001950_002250,fine_0,1,34,left_instrument,Grasper,IRRIGATOR_COUNTERTRACTION_ASSIST,GallbladderNeck_Infundibulum,near,lateral,none,clear_view,SurgicalFieldGeneral,unknown,
"The suction-irrigator clears the field and provides temporary countertraction near the gallbladder neck, allowing the left grasper to regrasp and improve lateral retraction.",16e33e34-9e96-4156-b4ce-7591dcf813da,16e33e34-9e96-4156-b4ce-7591dcf813da__C2__avg__c_001950_002250,coarse,1,34,left_instrument,Grasper,IRRIGATOR_COUNTERTRACTION_ASSIST,GallbladderNeck_Infundibulum,near,lateral,none,enable_regrasp,SurgicalFieldGeneral,unknown,
"The suction-irrigator clears the field and provides temporary countertraction near the gallbladder neck, allowing the left grasper to regrasp and improve lateral retraction.",16e33e34-9e96-4156-b4ce-7591dcf813da,16e33e34-9e96-4156-b4ce-7591dcf813da__C3__avg__c_001950_002250,coarse,1,34,left_instrument,Grasper,IRRIGATOR_COUNTERTRACTION_ASSIST,GallbladderNeck_Infundibulum,near,lateral,none,enable_regrasp,SurgicalFieldGeneral,unknown,
"The left grasper shifts from upward to lateral traction, rotating the gallbladder and improving exposure of the hepatocystic triangle.",06cc10f4-8b31-4112-b024-ea1818c5d096,06cc10f4-8b31-4112-b024-ea1818c5d096__C2__avg__c_000900_001350,coarse,1,40,left_instrument,Grasper,OTHER/UNKNOWN,HepatocysticTriangle,on,cephalad/upward+lateral,rotated/new_surface_exposed,improve_exposure,Unknown,unknown,
The right bipolar attempt to pick up a dropped clip and stops blocking the view of the hepatocystic triangle.,06cc10f4-8b31-4112-b024-ea1818c5d096,06cc10f4-8b31-4112-b024-ea1818c5d096__C2__avg__c_001800_002250,fine_0,2,24,right_instrument,Bipolar,OTHER/UNKNOWN,HepatocysticTriangle,unknown,unknown,none,remove_occlusion,Unknown,unknown,
"The right bipolar picks up a dropped clip and withdraws from the view, showing that the lower gallbladder is separated from the liver bed.",06cc10f4-8b31-4112-b024-ea1818c5d096,06cc10f4-8b31-4112-b024-ea1818c5d096__C3__avg__c_001800_002100,fine_0,1,2,right_instrument,Bipolar,OTHER/UNKNOWN,LiverBed,on,unknown,none,reveal_detachment,Unknown,unknown,
"The right hook moves away from the hepatocystic triangle, removing occlusion and revealing a clearer window.",06cc10f4-8b31-4112-b024-ea1818c5d096,06cc10f4-8b31-4112-b024-ea1818c5d096__C2__avg__c_000900_001350,fine_0,1,7,right_instrument,Hook,OTHER/UNKNOWN,HepatocysticTriangle,on,unknown,none,unknown,Unknown,unknown,
The right hook withdraws from the view where it occludes the gallbladder-liver interface and exposes that the gallbladder is detached from the liver bed.,0a094835-5933-4f29-a184-6bfa46579272,0a094835-5933-4f29-a184-6bfa46579272__C3__avg__c_000450_000900,coarse,1,3,right_instrument,Hook,OTHER/UNKNOWN,LiverBed,on,unknown,none,improve_exposure,Unknown,unknown,
The right hook withdraws from the view where it occludes the gallbladder-liver interface and exposes that the gallbladder is detached from the liver bed.,0a094835-5933-4f29-a184-6bfa46579272,0a094835-5933-4f29-a184-6bfa46579272__C3__avg__c_000450_000900,fine_0,3,3,right_instrument,Hook,OTHER/UNKNOWN,LiverBed,on,unknown,none,improve_exposure,Unknown,unknown,
"The bipolar withdraws from the cystic artery, exposing a clearer view of the hepatocystic triangle.",1ecfaf41-7ed8-4d2b-80f3-b370ea1ff55a,1ecfaf41-7ed8-4d2b-80f3-b370ea1ff55a__C2__avg__c_000000_000450,coarse,3,25,unknown,Bipolar,OTHER/UNKNOWN,CysticArtery,on,unknown,none,improve_exposure,Unknown,medium,
The left-sided grasper retracts the gallbladder laterally to expose the surgical field.,13c28a0c-ff1a-4e46-a9e9-b1b125e01216,13c28a0c-ff1a-4e46-a9e9-b1b125e01216__C2__avg__c_000000_000300,coarse,2,48,left_instrument,Grasper,RETRACT_LATERAL,Gallbladder,unknown,lateral,none,improve_exposure,SurgicalFieldGeneral,unknown,
"The left grasper retracts the gallbladder laterally, exposing its attachment to the liver.",0c54c281-0d1f-4403-81ee-82fcfc3c0d76,0c54c281-0d1f-4403-81ee-82fcfc3c0d76__C3__avg__c_001950_002250,fine_0,1,49,left_instrument,Grasper,RETRACT_LATERAL,Gallbladder,unknown,lateral,none,improve_exposure,SurgicalFieldGeneral,unknown,
The left grasper retracts the gallbladder laterally to expose the dissection plane.,16e33e34-9e96-4156-b4ce-7591dcf813da,16e33e34-9e96-4156-b4ce-7591dcf813da__C3__avg__c_001950_002250,coarse,2,50,left_instrument,Grasper,RETRACT_LATERAL,Gallbladder,unknown,lateral,none,improve_exposure,SurgicalFieldGeneral,unknown,
"The left grasper retracts the gallbladder laterally, exposing the dissection plane.",10784ea7-8272-4b76-86c5-0f90cf74c750,10784ea7-8272-4b76-86c5-0f90cf74c750__C3__avg__c_000150_000900,fine_0,2,50,left_instrument,Grasper,RETRACT_LATERAL,Gallbladder,unknown,lateral,none,improve_exposure,SurgicalFieldGeneral,unknown,
The left grasper maintains stable lateral retraction on the gallbladder.,1ecfaf41-7ed8-4d2b-80f3-b370ea1ff55a,1ecfaf41-7ed8-4d2b-80f3-b370ea1ff55a__C2__avg__c_000750_001050,fine_0,1,37,left_instrument,Grasper,RETRACT_LATERAL,Gallbladder,unknown,lateral,none,unknown,Unknown,unknown,
"The left grasper retracts the gallbladder upward and laterally, creating tension to display the cleared structures.",1cd76ca0-9ddb-4204-a783-bd245a6cc604,1cd76ca0-9ddb-4204-a783-bd245a6cc604__C2__avg__c_001200_001950,fine_0,2,45,left_instrument,Grasper,RETRACT_LATERAL,Gallbladder,unknown,cephalad/upward+lateral,none,unknown,Unknown,unknown,
The left grasper retracts the gallbladder laterally to maintain tension for dissection.,01950655-a507-4514-abe5-d13ff593ec4d,01950655-a507-4514-abe5-d13ff593ec4d__C3__avg__c_001050_001500,fine_0,2,48,left_instrument,Grasper,RETRACT_LATERAL,Gallbladder,unknown,lateral,none,unknown,Unknown,unknown,
"The left grasper retracts the gallbladder neck laterally, maintaining exposure.",0f7ff338-1195-4482-b26b-530858de1811,0f7ff338-1195-4482-b26b-530858de1811__C2__avg__c_001500_001800,fine_0,2,47,left_instrument,Grasper,RETRACT_LATERAL,GallbladderNeck_Infundibulum,unknown,lateral,none,improve_exposure,SurgicalFieldGeneral,unknown,
The left grasper retracts the gallbladder infundibulum laterally to expose the surgical field.,0f7ff338-1195-4482-b26b-530858de1811,0f7ff338-1195-4482-b26b-530858de1811__C2__avg__c_001500_001800,coarse,2,48,left_instrument,Grasper,RETRACT_LATERAL,GallbladderNeck_Infundibulum,unknown,lateral,none,improve_exposure,SurgicalFieldGeneral,unknown,
"The left grasper retracts the gallbladder neck upward and laterally, creating tension.",1cd76ca0-9ddb-4204-a783-bd245a6cc604,1cd76ca0-9ddb-4204-a783-bd245a6cc604__C1__avg__c_001200_001950,fine_0,1,47,left_instrument,Grasper,RETRACT_LATERAL,GallbladderNeck_Infundibulum,unknown,cephalad/upward+lateral,none,unknown,Unknown,unknown,
"The left grasper maintains upward and lateral retraction on the gallbladder, exposing the hepatocystic triangle.",0f7bd02b-4292-432a-a1bc-bfdf3b53d56b,0f7bd02b-4292-432a-a1bc-bfdf3b53d56b__C2__avg__c_001950_002250,coarse,1,38,left_instrument,Grasper,RETRACT_LATERAL,HepatocysticTriangle,unknown,cephalad/upward+lateral,none,improve_exposure,HepatocysticTriangle,unknown,
"The left grasper maintains upward and lateral retraction on the gallbladder, exposing the hepatocystic triangle.",0f7bd02b-4292-432a-a1bc-bfdf3b53d56b,0f7bd02b-4292-432a-a1bc-bfdf3b53d56b__C2__avg__c_001950_002250,fine_0,1,38,left_instrument,Grasper,RETRACT_LATERAL,HepatocysticTriangle,unknown,cephalad/upward+lateral,none,improve_exposure,HepatocysticTriangle,unknown,
"The left grasper maintains upward and lateral retraction on the gallbladder, exposing the hepatocystic triangle.",13c28a0c-ff1a-4e46-a9e9-b1b125e01216,13c28a0c-ff1a-4e46-a9e9-b1b125e01216__C2__avg__c_000600_000750,fine_0,2,38,left_instrument,Grasper,RETRACT_LATERAL,HepatocysticTriangle,unknown,cephalad/upward+lateral,none,improve_exposure,HepatocysticTriangle,unknown,
